背番号,選手名,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,team,Name,salary
61,ファビアン,0.316,43.0,180.0,174.0,55.0,5.0,21.0,0.0,5.0,1.0,28.0,0.0,3.0,0.339,0.466,0.804,5.77,5.43,c,ファビアン,10850
5,小園　海斗,0.259,42.0,179.0,162.0,42.0,2.0,16.0,4.0,16.0,1.0,15.0,0.0,1.0,0.33,0.358,0.688,4.56,4.36,c,小園　海斗,9000
52,末包　昇大,0.276,39.0,170.0,152.0,42.0,6.0,31.0,1.0,16.0,1.0,33.0,0.0,1.0,0.347,0.467,0.814,6.11,6.04,c,末包　昇大,3600
4,矢野　雅哉,0.19,42.0,168.0,137.0,26.0,0.0,10.0,0.0,17.0,3.0,37.0,10.0,1.0,0.291,0.234,0.525,2.04,2.2,c,矢野　雅哉,5300
33,菊池　涼介,0.248,40.0,155.0,141.0,35.0,1.0,12.0,0.0,6.0,0.0,26.0,7.0,1.0,0.277,0.312,0.589,2.78,2.8,c,菊池　涼介,25000
99,二俣　翔一,0.16,31.0,82.0,75.0,12.0,1.0,2.0,1.0,5.0,1.0,19.0,1.0,0.0,0.222,0.227,0.449,1.25,1.45,c,二俣　翔一,1200
37,野間　峻祥,0.306,36.0,79.0,72.0,22.0,0.0,9.0,2.0,7.0,0.0,11.0,0.0,0.0,0.367,0.319,0.687,5.23,5.01,c,野間　峻祥,8000
96,中村　奨成,0.293,26.0,79.0,75.0,22.0,1.0,4.0,0.0,4.0,0.0,10.0,0.0,0.0,0.329,0.413,0.742,4.21,4.07,c,中村　奨成,800
31,坂倉　将吾,0.29,20.0,78.0,69.0,20.0,1.0,6.0,0.0,6.0,0.0,16.0,3.0,1.0,0.347,0.377,0.723,4.69,4.46,c,坂倉　将吾,15000
60,田村　俊介,0.254,25.0,69.0,63.0,16.0,1.0,4.0,0.0,6.0,0.0,14.0,0.0,1.0,0.319,0.333,0.652,3.52,3.53,c,田村　俊介,1000
7,堂林　翔太,0.197,29.0,66.0,61.0,12.0,1.0,4.0,0.0,4.0,0.0,21.0,1.0,3.0,0.246,0.328,0.574,1.92,1.91,c,堂林　翔太,6000
32,石原　貴規,0.196,19.0,55.0,51.0,10.0,0.0,2.0,0.0,0.0,1.0,13.0,3.0,2.0,0.212,0.235,0.447,0.78,0.8,c,石原　貴規,1900
95,モンテロ,0.214,12.0,47.0,42.0,9.0,1.0,7.0,0.0,5.0,0.0,7.0,0.0,3.0,0.298,0.381,0.679,2.98,2.78,c,モンテロ,12800
27,會澤　翼,0.167,15.0,32.0,24.0,4.0,0.0,1.0,0.0,4.0,2.0,8.0,2.0,0.0,0.333,0.208,0.542,2.35,2.32,c,會澤　翼,8000
9,秋山　翔吾,0.345,10.0,31.0,29.0,10.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.387,0.517,0.904,8.07,7.57,c,秋山　翔吾,18000
0,羽月　隆太郎,0.308,20.0,17.0,13.0,4.0,0.0,2.0,6.0,4.0,0.0,5.0,0.0,0.0,0.471,0.308,0.778,5.8,5.92,c,羽月　隆太郎,2300
69,山足　達也,0.111,11.0,14.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,1.0,0.273,0.111,0.384,0.33,0.47,c,山足　達也,1900
